Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/05/2026,02/08/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
02/06/2026,02/08/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
02/07/2026,02/08/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
02/06/2026,02/08/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
02/07/2026,02/08/2026,GRUBHUB*BANH,Food & Drink,Sale,-85.15,
02/05/2026,02/08/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
02/06/2026,02/06/2026,EMPOWER* INTIZAR SHAH,Travel,Sale,-23.73,
02/05/2026,02/06/2026,WESTSIDE STATIONERS,Shopping,Sale,-75.33,
02/05/2026,02/05/2026,AUTOMATIC PAYMENT - THANK,,Payment,678.86,
02/05/2026,02/05/2026,EMPOWER* DINESH NEPAL,Travel,Sale,-18.44,
02/05/2026,02/05/2026,EMPOWER* MD JUYEL AHME,Travel,Sale,-22.81,
02/04/2026,02/05/2026,EMPOWER* MANDEEP SINGH,Travel,Sale,-17.27,
02/03/2026,02/04/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
02/02/2026,02/04/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
02/04/2026,02/04/2026,EMPOWER* MAMOUDOU DIAL,Travel,Sale,-17.35,
02/03/2026,02/04/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
02/02/2026,02/04/2026,TRADER JOE S #542,Groceries,Sale,-54.91,
02/02/2026,02/04/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
02/02/2026,02/03/2026,HEATWISE,Personal,Sale,-99.00,
02/02/2026,02/03/2026,PTI* PEEK SELVATURA PA,Entertainment,Sale,-570.64,
02/01/2026,02/02/2026,SQ *BLUESTONE LANE - 129,Food & Drink,Sale,-7.57,
01/31/2026,02/02/2026,NEW ABSOLUTE BAGELS,Food & Drink,Sale,-13.82,
02/01/2026,02/02/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
02/01/2026,02/02/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
01/31/2026,02/02/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
